province,year,track,score,cumulativeRank,source
山东,2025,综合,596,27977,real:sdzk/一分一段
山东,2025,综合,595,28704,real:sdzk/一分一段
山东,2025,综合,594,29549,real:sdzk/一分一段
山东,2025,综合,593,30395,real:sdzk/一分一段
山东,2025,综合,592,31273,real:sdzk/一分一段
山东,2025,综合,591,32123,real:sdzk/一分一段
山东,2025,综合,590,32966,real:sdzk/一分一段
山东,2025,综合,589,33835,real:sdzk/一分一段
山东,2025,综合,588,34716,real:sdzk/一分一段
山东,2025,综合,587,35635,real:sdzk/一分一段
山东,2025,综合,586,36510,real:sdzk/一分一段
山东,2025,综合,585,37499,real:sdzk/一分一段
山东,2025,综合,584,38477,real:sdzk/一分一段
山东,2025,综合,583,39493,real:sdzk/一分一段
山东,2025,综合,582,40556,real:sdzk/一分一段
山东,2025,综合,581,41571,real:sdzk/一分一段
山东,2025,综合,580,42645,real:sdzk/一分一段
山东,2025,综合,579,43708,real:sdzk/一分一段
山东,2025,综合,578,44745,real:sdzk/一分一段
山东,2025,综合,577,45839,real:sdzk/一分一段
山东,2025,综合,576,46983,real:sdzk/一分一段
山东,2025,综合,575,48195,real:sdzk/一分一段
山东,2025,综合,574,49311,real:sdzk/一分一段
山东,2025,综合,573,50515,real:sdzk/一分一段
山东,2025,综合,572,51672,real:sdzk/一分一段
山东,2025,综合,571,52899,real:sdzk/一分一段
山东,2025,综合,570,54127,real:sdzk/一分一段
山东,2025,综合,569,55342,real:sdzk/一分一段
山东,2025,综合,568,56598,real:sdzk/一分一段
山东,2025,综合,567,57862,real:sdzk/一分一段
山东,2025,综合,566,59152,real:sdzk/一分一段
山东,2025,综合,565,60437,real:sdzk/一分一段
山东,2025,综合,564,61734,real:sdzk/一分一段
山东,2025,综合,563,63106,real:sdzk/一分一段
山东,2025,综合,562,64571,real:sdzk/一分一段
山东,2025,综合,561,65979,real:sdzk/一分一段
山东,2025,综合,560,67397,real:sdzk/一分一段
山东,2025,综合,559,68893,real:sdzk/一分一段
山东,2025,综合,558,70316,real:sdzk/一分一段
山东,2025,综合,557,71861,real:sdzk/一分一段
山东,2025,综合,556,73404,real:sdzk/一分一段
山东,2025,综合,555,74908,real:sdzk/一分一段
山东,2025,综合,554,76466,real:sdzk/一分一段
山东,2025,综合,553,78074,real:sdzk/一分一段
山东,2025,综合,552,79669,real:sdzk/一分一段
山东,2025,综合,551,81231,real:sdzk/一分一段
山东,2025,综合,550,82928,real:sdzk/一分一段
山东,2025,综合,549,84598,real:sdzk/一分一段
山东,2025,综合,548,86251,real:sdzk/一分一段
山东,2025,综合,547,87918,real:sdzk/一分一段
山东,2025,综合,546,89643,real:sdzk/一分一段
山东,2025,综合,545,91414,real:sdzk/一分一段
山东,2025,综合,544,93253,real:sdzk/一分一段
山东,2025,综合,543,94981,real:sdzk/一分一段
山东,2025,综合,542,96810,real:sdzk/一分一段
