universityId,province,year,track,minScore,minRank,source
A019,山东,2025,综合,578,45052,real:sdzk/投档线
P017,山东,2025,综合,578,45279,real:sdzk/投档线
B413,山东,2025,综合,576,46568,real:sdzk/投档线
P027,山东,2025,综合,576,46610,real:sdzk/投档线
A033,山东,2025,综合,576,47290,real:sdzk/投档线
A010,山东,2025,综合,576,47309,real:sdzk/投档线
C121,山东,2025,综合,576,47329,real:sdzk/投档线
A025,山东,2025,综合,576,47360,real:sdzk/投档线
A497,山东,2025,综合,575,47730,real:sdzk/投档线
H141,山东,2025,综合,575,48014,real:sdzk/投档线
A254,山东,2025,综合,575,48508,real:sdzk/投档线
A112,山东,2025,综合,575,48574,real:sdzk/投档线
A357,山东,2025,综合,574,48794,real:sdzk/投档线
A295,山东,2025,综合,574,49342,real:sdzk/投档线
A294,山东,2025,综合,574,49707,real:sdzk/投档线
A048,山东,2025,综合,573,50224,real:sdzk/投档线
A300,山东,2025,综合,573,50891,real:sdzk/投档线
H004,山东,2025,综合,573,50944,real:sdzk/投档线
A278,山东,2025,综合,572,51426,real:sdzk/投档线
A273,山东,2025,综合,572,51709,real:sdzk/投档线
A217,山东,2025,综合,572,51826,real:sdzk/投档线
A459,山东,2025,综合,572,51885,real:sdzk/投档线
A590,山东,2025,综合,572,51900,real:sdzk/投档线
A031,山东,2025,综合,572,52074,real:sdzk/投档线
E655,山东,2025,综合,571,52400,real:sdzk/投档线
A712,山东,2025,综合,571,52670,real:sdzk/投档线
A080,山东,2025,综合,571,52705,real:sdzk/投档线
A542,山东,2025,综合,571,52753,real:sdzk/投档线
A403,山东,2025,综合,571,53110,real:sdzk/投档线
A026,山东,2025,综合,571,53448,real:sdzk/投档线
A520,山东,2025,综合,570,53652,real:sdzk/投档线
A724,山东,2025,综合,570,54265,real:sdzk/投档线
F302,山东,2025,综合,570,54292,real:sdzk/投档线
A277,山东,2025,综合,569,54831,real:sdzk/投档线
A386,山东,2025,综合,569,55560,real:sdzk/投档线
A355,山东,2025,综合,568,56052,real:sdzk/投档线
A491,山东,2025,综合,568,56795,real:sdzk/投档线
H414,山东,2025,综合,568,56883,real:sdzk/投档线
A356,山东,2025,综合,568,57156,real:sdzk/投档线
A299,山东,2025,综合,567,57548,real:sdzk/投档线
A718,山东,2025,综合,567,57557,real:sdzk/投档线
A140,山东,2025,综合,567,57734,real:sdzk/投档线
B078,山东,2025,综合,567,57960,real:sdzk/投档线
A312,山东,2025,综合,567,58309,real:sdzk/投档线
D705,山东,2025,综合,565,60726,real:sdzk/投档线
B846,山东,2025,综合,565,60970,real:sdzk/投档线
A279,山东,2025,综合,564,61762,real:sdzk/投档线
A626,山东,2025,综合,563,63114,real:sdzk/投档线
F301,山东,2025,综合,563,63321,real:sdzk/投档线
A572,山东,2025,综合,562,63848,real:sdzk/投档线
A613,山东,2025,综合,562,64153,real:sdzk/投档线
A532,山东,2025,综合,562,64248,real:sdzk/投档线
A047,山东,2025,综合,562,64267,real:sdzk/投档线
E878,山东,2025,综合,562,64949,real:sdzk/投档线
A038,山东,2025,综合,561,66090,real:sdzk/投档线
A710,山东,2025,综合,561,66465,real:sdzk/投档线
A635,山东,2025,综合,560,66755,real:sdzk/投档线
A617,山东,2025,综合,560,67755,real:sdzk/投档线
A200,山东,2025,综合,559,69563,real:sdzk/投档线
A264,山东,2025,综合,558,69739,real:sdzk/投档线
A063,山东,2025,综合,558,70113,real:sdzk/投档线
A290,山东,2025,综合,558,70484,real:sdzk/投档线
A327,山东,2025,综合,557,71092,real:sdzk/投档线
P004,山东,2025,综合,557,71355,real:sdzk/投档线
A049,山东,2025,综合,557,71841,real:sdzk/投档线
A315,山东,2025,综合,556,72666,real:sdzk/投档线
A726,山东,2025,综合,556,73380,real:sdzk/投档线
A252,山东,2025,综合,556,73943,real:sdzk/投档线
A022,山东,2025,综合,555,74331,real:sdzk/投档线
A313,山东,2025,综合,555,74469,real:sdzk/投档线
A616,山东,2025,综合,554,76519,real:sdzk/投档线
A126,山东,2025,综合,553,77543,real:sdzk/投档线
A070,山东,2025,综合,553,77813,real:sdzk/投档线
H635,山东,2025,综合,552,79792,real:sdzk/投档线
F401,山东,2025,综合,552,80244,real:sdzk/投档线
F409,山东,2025,综合,552,80335,real:sdzk/投档线
A068,山东,2025,综合,551,80679,real:sdzk/投档线
B232,山东,2025,综合,551,81743,real:sdzk/投档线
A058,山东,2025,综合,551,82009,real:sdzk/投档线
B646,山东,2025,综合,550,82242,real:sdzk/投档线
B287,山东,2025,综合,550,82269,real:sdzk/投档线
B835,山东,2025,综合,550,82636,real:sdzk/投档线
B482,山东,2025,综合,550,82715,real:sdzk/投档线
A593,山东,2025,综合,550,83145,real:sdzk/投档线
A163,山东,2025,综合,550,83396,real:sdzk/投档线
A151,山东,2025,综合,550,83526,real:sdzk/投档线
A673,山东,2025,综合,550,83600,real:sdzk/投档线
B632,山东,2025,综合,549,84951,real:sdzk/投档线
F410,山东,2025,综合,548,86496,real:sdzk/投档线
A504,山东,2025,综合,548,86685,real:sdzk/投档线
C044,山东,2025,综合,547,88326,real:sdzk/投档线
A755,山东,2025,综合,547,88479,real:sdzk/投档线
A615,山东,2025,综合,547,88745,real:sdzk/投档线
B349,山东,2025,综合,546,89855,real:sdzk/投档线
A530,山东,2025,综合,546,90130,real:sdzk/投档线
B047,山东,2025,综合,545,91731,real:sdzk/投档线
B117,山东,2025,综合,545,92309,real:sdzk/投档线
A184,山东,2025,综合,544,93789,real:sdzk/投档线
A259,山东,2025,综合,543,94452,real:sdzk/投档线
A291,山东,2025,综合,542,96190,real:sdzk/投档线
A353,山东,2025,综合,542,96312,real:sdzk/投档线
B845,山东,2025,综合,542,96880,real:sdzk/投档线
A587,山东,2025,综合,541,98041,real:sdzk/投档线
A657,山东,2025,综合,541,98555,real:sdzk/投档线
A592,山东,2025,综合,541,99114,real:sdzk/投档线
A108,山东,2025,综合,541,99243,real:sdzk/投档线
A331,山东,2025,综合,540,99540,real:sdzk/投档线
A057,山东,2025,综合,540,100609,real:sdzk/投档线
A332,山东,2025,综合,539,101681,real:sdzk/投档线
A292,山东,2025,综合,539,101790,real:sdzk/投档线
A589,山东,2025,综合,539,101911,real:sdzk/投档线
A346,山东,2025,综合,539,103094,real:sdzk/投档线
A159,山东,2025,综合,538,103219,real:sdzk/投档线
A634,山东,2025,综合,538,103667,real:sdzk/投档线
A523,山东,2025,综合,537,105281,real:sdzk/投档线
A173,山东,2025,综合,537,105946,real:sdzk/投档线
B105,山东,2025,综合,537,106354,real:sdzk/投档线
A060,山东,2025,综合,537,106993,real:sdzk/投档线
B113,山东,2025,综合,536,108391,real:sdzk/投档线
F405,山东,2025,综合,536,108393,real:sdzk/投档线
A015,山东,2025,综合,536,108510,real:sdzk/投档线
A475,山东,2025,综合,535,110678,real:sdzk/投档线
Y006,山东,2025,综合,534,111527,real:sdzk/投档线
A337,山东,2025,综合,534,111693,real:sdzk/投档线
A344,山东,2025,综合,534,112129,real:sdzk/投档线
A488,山东,2025,综合,534,112176,real:sdzk/投档线
A016,山东,2025,综合,534,112334,real:sdzk/投档线
D982,山东,2025,综合,532,114691,real:sdzk/投档线
B660,山东,2025,综合,532,114991,real:sdzk/投档线
A650,山东,2025,综合,532,115051,real:sdzk/投档线
A065,山东,2025,综合,532,115090,real:sdzk/投档线
